date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-10-07,338.12,341.63,338.09,340.76,314.2040725622221,56999597,0.0000,1.0
2020-10-08,342.85,343.85,341.86,343.78,316.9887195252985,45242476,0.0000,1.0
2020-10-09,345.56,347.35,344.89,346.85,319.81946991491594,59528606,0.0000,1.0
2020-10-12,349.59,354.02,349.06,352.43,324.9646123168915,80388533,0.0000,1.0
2020-10-13,352.28,352.4651,349.09,350.13,322.8438546960055,73255513,0.0000,1.0
2020-10-14,350.75,351.93,347.14,347.93,320.8153039282015,57958749,0.0000,1.0
2020-10-15,343.71,348.02,343.13,347.5,320.4188144599489,60357659,0.0000,1.0
2020-10-16,348.96,350.75,347.1,347.29,320.22518006847673,89501868,0.0000,1.0
2020-10-19,348.65,349.33,341.04,342.01,315.3566582257471,68425614,0.0000,1.0
2020-10-20,343.46,346.88,342.64,343.38,316.6198921129705,60051880,0.0000,1.0
2020-10-21,343.33,348.6847,342.4,342.73,316.0205475679375,63574979,0.0000,1.0
2020-10-22,342.96,345.24,340.65,344.61,317.7540364058791,55399292,0.0000,1.0
2020-10-23,345.93,345.99,343.13,345.78,318.8328565869385,49143931,0.0000,1.0
2020-10-26,342.13,342.98,335.62,339.39,312.9408386749987,91473002,0.0000,1.0
2020-10-27,339.76,340.12,337.99,338.22,311.86201849393933,65994108,0.0000,1.0
2020-10-28,332.1,338.2483,326.13,326.66,301.2029062776602,127094307,0.0000,1.0
2020-10-29,326.91,333.395,325.09,329.98,304.2641737999826,90597689,0.0000,1.0
2020-10-30,328.28,329.69,322.6,326.54,301.0922580539618,120448685,0.0000,1.0
2020-11-02,330.2,332.36,327.24,330.2,304.4670288767629,86068299,0.0000,1.0
2020-11-03,333.69,338.25,330.2935,336.03,309.84268841144353,93294192,0.0000,1.0
2020-11-04,340.86,347.94,339.59,343.54,316.76742307790175,126959700,0.0000,1.0
2020-11-05,349.24,352.19,348.86,350.24,322.9452822343957,82039749,0.0000,1.0
2020-11-06,349.93,351.51,347.65,350.16,322.87151675193013,74972973,0.0000,1.0
2020-11-09,363.97,364.38,354.06,354.56,326.9286182875381,172304203,0.0000,1.0
2020-11-10,353.49,355.18,350.51,354.04,326.4491426515117,85552022,0.0000,1.0
2020-11-11,356.4,357.56,355.06,356.67,328.8741828875683,58649048,0.0000,1.0
2020-11-12,355.58,356.7182,351.26,353.21,325.68382577093104,68118563,0.0000,1.0
2020-11-13,355.27,358.9,354.71,358.1,330.1927408866409,62959429,0.0000,1.0
2020-11-16,360.98,362.78,359.59,362.57,334.3143872194062,74541138,0.0000,1.0
2020-11-17,359.97,361.92,358.34,360.62,332.51635358430724,66111009,0.0000,1.0
2020-11-18,360.91,361.5,356.24,356.28,328.5145761605485,70591299,0.0000,1.0
2020-11-19,355.6,358.18,354.15,357.78,329.89767895677846,59940947,0.0000,1.0
2020-11-20,357.5,357.72,355.25,355.33,327.63861105626944,70411890,0.0000,1.0
2020-11-23,357.28,358.82,354.865,357.46,329.60261702691605,63230608,0.0000,1.0
2020-11-24,360.21,363.81,359.29,363.22,334.91373176443926,60985003,0.0000,1.0
2020-11-25,363.13,363.16,361.48,362.66,334.3973733871801,45330890,0.0000,1.0
2020-11-27,363.84,364.18,362.58,363.67,335.32866260330826,28514072,0.0000,1.0
2020-11-30,362.83,363.12,359.17,362.06,333.84413226868804,83872709,0.0000,1.0
2020-12-01,365.57,367.68,364.93,366.02,337.4955236507352,72509670,0.0000,1.0
2020-12-02,364.82,366.96,364.2,366.79,338.2055164194667,45927000,0.0000,1.0
2020-12-03,366.68,368.19,365.5,366.69,338.11330956638466,62881998,0.0000,1.0
2020-12-04,367.32,369.85,367.22,369.85,341.02704612377585,50749859,0.0000,1.0
2020-12-07,369.02,369.62,367.72,369.09,340.3262740403526,48944269,0.0000,1.0
2020-12-08,367.72,370.78,367.67,370.17,341.32210805363826,42458859,0.0000,1.0
2020-12-09,370.88,371.05,365.95,366.85,338.26084053131586,74098312,0.0000,1.0
2020-12-10,365.37,367.86,364.43,366.73,338.15019230761743,57735353,0.0000,1.0
2020-12-11,364.9,366.7402,363.26,366.3,337.75370283936485,57698614,0.0000,1.0
2020-12-14,368.64,369.8,364.47,364.66,336.24151044882007,69216174,0.0000,1.0
2020-12-15,367.4,369.59,365.92,369.59,340.7873083057626,64071099,0.0000,1.0
